"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"SourceSink"	"Env"
"AHK001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AKI001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AKI002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AMH001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AMH002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AMH003.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AMH004.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ANK001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ANN001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ANN002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ANN003.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ANN004.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AON001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"AON002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ARS001.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS004.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS005.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS020.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS010.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS011.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS012.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS013.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS015.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ARS017.A0101"	NA	NA	"Kovsgol"	"source"	"archBone"
"ATT001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ATT002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"EFE002.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"EFE003.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"EFE004.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"EFE005.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"EFE006.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"ERR1883418"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883419"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883420"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883421"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883422"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883423"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883424"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883430"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883436"	NA	NA	"Slon2017"	"source"	"sediment"
"ERR1883438"	NA	NA	"Slon2017"	"source"	"sediment"
"FUT018.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"FUT021.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"FUT024.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-01-00-01_S1"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-02-00-01_S2"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-03-00-01_S3"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-04-00-01_S4"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-05-00-01_S5"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-06-00-01_S6"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-07-00-01_S7"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-08-00-01_S8"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-09-00-01_S9"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-10-00-01_S10"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-11-00-01_S11"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-12-00-01_S12"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-14-00-01_S14"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-15-00-01_S15"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-16-00-01_S16"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-17-00-01_S17"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-18-00-01_S18"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-20-00-01_S20"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-21-00-01_S21"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-22-00-01_S22"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-23-00-01_S23"	NA	NA	"thisStudy"	"sink"	"calculus"
