Species	otago	okla	jena
[Actinopolyspora] iraqiensis		1	
[Polyangium] brachysporum	1	1	1
[Pseudomonas] mesoacidophila	1	1	1
Acetobacteraceae bacterium AT-5844	1	1	1
Achromobacter denitrificans	1	1	1
Achromobacter insolitus	1	1	1
Achromobacter insuavis		1	1
Achromobacter marplatensis	1	1	1
Achromobacter piechaudii	1	1	1
Achromobacter pulmonis			1
Achromobacter sp. 2789STDY5608615			1
Achromobacter sp. 2789STDY5608621		1	1
Achromobacter sp. 2789STDY5608625	1	1	1
Achromobacter sp. 2789STDY5608633			1
Achromobacter sp. AONIH1	1	1	1
Achromobacter sp. DMS1	1	1	1
Achromobacter sp. Root170	1	1	1
Achromobacter sp. Root83	1	1	1
Achromobacter sp. RTa	1	1	1
Achromobacter spanius	1	1	1
Achromobacter xylosoxidans	1	1	1
Acidibrevibacterium fodinaquatile	1	1	1
Acidiferrobacter sp. SPIII_3	1	1	1
Acidihalobacter ferrooxidans	1	1	1
Acidihalobacter prosperus	1	1	1
Acidimangrovimonas indica	1	1	1
Acidimicrobium ferrooxidans	1	1	1
Acidiphilium multivorum		1	1
Acidipropionibacterium acidipropionici	1	1	1
Acidisphaera rubrifaciens	1	1	1
Acidithiobacillus caldus	1	1	1
Acidobacteriaceae bacterium KBS 83	1	1	1
Acidobacteriaceae bacterium KBS 89	1	1	1
Acidobacteriaceae bacterium URHE0068	1	1	1
Acidobacterium capsulatum	1	1	1
Acidocella sp. MX-AZ02	1	1	1
Acidomonas methanolica	1	1	1
Acidovorax anthurii	1	1	1
Acidovorax avenae	1	1	1
Acidovorax carolinensis	1	1	1
Acidovorax cattleyae	1	1	1
Acidovorax citrulli	1	1	1
Acidovorax defluvii	1	1	1
Acidovorax ebreus		1	1
Acidovorax konjaci	1	1	1
Acidovorax sp. GW101-3H11		1	1
Acidovorax sp. JHL-9	1	1	1
Acidovorax sp. JS42		1	1
Acidovorax sp. KKS102	1	1	1
Acidovorax sp. Leaf191		1	1
Acidovorax sp. Leaf78		1	1
Acidovorax sp. MR-S7	1	1	1
Acidovorax sp. RAC01		1	1
Acidovorax sp. Root217		1	
Acidovorax sp. Root219		1	1
Acidovorax sp. Root267		1	1
Acidovorax sp. Root275		1	1
Acidovorax sp. Root402		1	1
Acidovorax sp. Root568	1	1	1
Acidovorax sp. T1		1	1
Acidovorax valerianellae	1	1	1
Acidovorax wautersii	1	1	1
Acinetobacter baumannii		1	1
Acinetobacter bereziniae	1		1
Acinetobacter guillouiae			1
Acinetobacter gyllenbergii		1	1
Acinetobacter haemolyticus	1		
Acinetobacter indicus			1
